x,y
399.3579454,1764.252696
396.1476726,1752.696456
392.2953451,1737.288136
388.4430177,1721.879815
384.5906902,1702.619414
380.0963082,1687.211094
376.2439807,1667.950693
372.3916533,1648.690293
367.2552167,1625.577812
364.0449438,1610.169492
360.1926164,1590.909091
356.3402889,1571.64869
352.4879615,1548.53621
347.9935795,1529.275809
344.141252,1510.015408
340.2889246,1486.902928
335.7945425,1467.642527
332.5842697,1452.234206
329.3739968,1429.121726
326.1637239,1413.713405
322.3113965,1394.453005
318.459069,1371.340524
314.6067416,1355.932203
311.3964687,1336.671803
306.9020867,1313.559322
302.4077047,1290.446841
297.9133226,1267.334361
293.4189406,1240.3698
288.9245586,1221.109399
284.4301766,1197.996918
280.5778491,1182.588598
276.7255217,1163.328197
272.2311396,1140.215716
267.7367576,1120.955316
263.8844302,1097.842835
259.3900482,1078.582435
254.8956661,1055.469954
251.6853933,1036.209553
246.5489567,1016.949153
242.6966292,993.8366718
238.2022472,974.5762712
233.7078652,951.4637904
229.8555377,932.2033898
226.0032103,912.9429892
222.1508828,897.5346687
218.2985554,878.2742681
213.8041734,862.8659476
210.5939005,847.4576271
206.741573,828.1972265
202.8892456,812.788906
198.3948636,789.6764253
192.6163724,762.7118644
186.8378812,739.5993837
182.9855538,720.3389831
177.8491172,704.9306626
173.9967897,685.6702619
168.8603531,662.5577812
163.7239165,635.5932203
159.8715891,624.03698
154.7351525,600.9244992
150.2407705,581.6640986
147.0304976,566.2557781
142.5361156,550.8474576
138.6837881,527.7349769
133.5473515,512.3266564
129.0529695,493.0662558
123.9165329,481.5100154
120.70626,462.2496148
116.8539326,446.8412943
113.0016051,431.4329738
109.1492777,416.0246533
104.6548957,396.7642527
100.1605136,381.3559322
93.7399679,354.3913713
93.7399679,354.3913713
89.24558587,342.835131
86.035313,327.4268105
82.18298555,315.8705701
78.33065811,300.4622496
75.12038523,288.9060092
71.26805778,277.3497689
68.05778491,265.7935285
64.84751204,254.2372881
61.63723917,234.9768875
57.78491172,223.4206471
54.57463884,211.8644068
49.43820225,196.4560863
45.5858748,181.0477658
41.73354735,165.6394453
38.52327448,150.2311248
34.67094703,134.8228043
30.17656501,123.2665639
26.96629213,111.7103236
21.82985554,92.44992296
17.33547352,77.04160247
12.84109149,61.63328197
8.34670947,38.52080123
4.494382022,23.11248074
0,0
