x, y
448.79614767255214, 2091.679506933744
444.9438202247191, 2080.1232665639445
439.8073836276083, 2068.567026194145
435.9550561797753, 2057.010785824345
432.1027287319422, 2045.4545454545455
427.6083467094703, 2026.1941448382127
423.7560192616372, 2014.637904468413
419.9036918138042, 1999.2295839753467
416.0513643659711, 1979.9691833590139
411.5569823434992, 1964.5608628659477
408.346709470305, 1949.1525423728815
404.4943820224719, 1933.744221879815
400.64205457463885, 1914.4838212634822
396.78972712680576, 1899.075500770416
392.9373996789727, 1883.6671802773499
389.7271268057785, 1860.5546995377504
386.51685393258424, 1845.1463790446842
382.02247191011236, 1829.738058551618
378.8121990369181, 1802.773497688752
374.9598715890851, 1787.3651771956856
371.74959871589084, 1768.1047765793528
367.8972712680578, 1752.6964560862866
364.68699839486356, 1729.5839753466873
360.8346709470305, 1710.3235747303545
357.6243980738363, 1691.0631741140216
355.0561797752809, 1675.6548536209552
351.84590690208665, 1660.246533127889
348.63563402889247, 1640.9861325115562
344.14125200642053, 1617.873651771957
340.93097913322634, 1594.7611710323574
337.7207062600321, 1579.3528505392912
333.868378812199, 1552.3882896764253
329.37399678972713, 1533.1278890600925
326.1637239165329, 1513.8674884437596
322.9534510433387, 1490.7550077041603
319.74317817014446, 1475.346687211094
317.17495987158907, 1459.9383667180277
313.9646869983949, 1444.5300462249616
311.3964686998395, 1429.1217257318951
308.8282504012841, 1409.8613251155625
305.6179775280899, 1394.453004622496
301.7656500802568, 1375.1926040061633
299.1974317817014, 1355.9322033898306
294.70304975922954, 1332.8197226502311
292.13483146067415, 1317.411402157165
288.2825040128411, 1294.2989214175655
285.0722311396469, 1278.8906009244993
282.5040128410915, 1263.482280431433
278.65168539325845, 1244.2218798151002
274.79935794542536, 1224.9614791987674
270.3049759229535, 1205.7010785824345
267.09470304975923, 1186.4406779661017
263.884430176565, 1167.1802773497689
260.6741573033708, 1151.7719568567027
257.46388443017656, 1136.3636363636365
254.25361155698235, 1117.1032357473036
251.0433386837881, 1101.6949152542372
247.19101123595505, 1082.4345146379044
243.33868378812198, 1063.1741140215718
240.77046548956662, 1047.7657935285054
237.5601926163724, 1032.3574730354392
233.7078651685393, 1009.2449922958398
230.4975922953451, 993.8366718027735
226.64526484751204, 978.4283513097073
223.43499197431782, 959.1679506933745
218.94060995184591, 936.0554699537751
215.73033707865167, 916.7950693374422
212.52006420545746, 901.386748844376
207.3836276083467, 882.1263482280432
204.1733547351525, 862.8659476117103
199.03691813804173, 843.6055469953775
195.8266452648475, 824.3451463790446
192.6163723916533, 808.9368258859785
189.40609951845906, 793.5285053929122
185.553772070626, 774.2681047765793
181.70144462279293, 755.0077041602466
177.20706260032102, 735.7473035439137
173.35473515248796, 720.3389830508474
170.14446227929375, 701.0785824345146
167.57624398073835, 685.6702619414484
163.08186195826644, 670.2619414483821
159.22953451043338, 654.8536209553159
156.66131621187802, 639.4453004622496
152.80898876404495, 620.1848998459168
149.5987158908507, 608.6286594761172
146.3884430176565, 593.2203389830509
141.8940609951846, 573.959938366718
138.04173354735153, 554.6995377503852
133.54735152487962, 539.291217257319
129.69502407704655, 520.0308166409861
125.20064205457464, 500.77041602465334
121.34831460674157, 489.21417565485365
117.4959871589085, 477.65793528505395
114.28571428571429, 454.54545454545456
110.43338683788122, 439.1371340523883
106.58105939004815, 423.728813559322
102.08667736757624, 408.3204930662558
98.23434991974318, 389.060092449923
93.09791332263242, 369.79969183359015
89.24558587479936, 350.5392912172573
85.3932584269663, 335.13097072419106
82.18298555377207, 323.57473035439136
76.40449438202248, 304.3143297380586
72.5521669341894, 285.05392912172573
65.48956661316213, 261.94144838212634
65.48956661316213, 261.94144838212634
62.2792937399679, 246.5331278890601
56.5008025682183, 223.4206471494607
52.648475120385235, 208.01232665639446
48.796147672552166, 192.6040061633282
43.659711075441415, 177.19568567026195
39.165329052969504, 157.93528505392914
34.670947030497594, 142.52696456086287
31.46067415730337, 130.97072419106317
27.608346709470304, 119.41448382126349
23.75601926163724, 104.00616332819723
18.619582664526483, 84.74576271186442
14.125200642054574, 65.48536209553158
8.98876404494382, 42.37288135593221
4.49438202247191, 23.112480739599384
0, 0
