x,y
398.7158909,1417.565485
394.2215088,1406.009245
388.4430177,1394.453005
383.9486356,1379.044684
380.0963082,1367.488444
375.6019262,1348.228043
370.4654896,1340.523883
364.6869984,1325.115562
359.5505618,1302.003082
354.4141252,1282.742681
349.2776886,1271.186441
346.0674157,1255.77812
342.2150883,1240.3698
337.0786517,1221.109399
331.3001605,1205.701079
326.1637239,1186.440678
321.0272873,1163.328197
315.8908507,1140.215716
310.7544141,1124.807396
307.5441413,1113.251156
303.6918138,1097.842835
299.8394864,1078.582435
294.7030498,1059.322034
288.9245586,1040.061633
285.0722311,1024.653313
281.2199037,1009.244992
276.7255217,993.8366718
270.9470305,966.8721109
265.1685393,947.6117103
260.0321027,928.3513097
254.8956661,909.0909091
247.8330658,882.1263482
242.0545746,859.0138675
238.2022472,843.605547
233.7078652,828.1972265
227.929374,805.0847458
222.1508828,785.8243451
216.3723917,762.7118644
211.2359551,739.5993837
205.4574639,724.1910632
200.3210273,701.0785824
194.5425361,677.9661017
189.4060995,662.5577812
184.9117175,639.4453005
179.7752809,624.03698
173.9967897,608.6286595
168.8603531,581.6640986
164.3659711,570.1078582
159.8715891,554.6995378
155.3772071,535.4391371
150.2407705,520.0308166
147.0304976,504.6224961
141.894061,489.2141757
136.7576244,469.953775
131.6211878,454.5454545
127.7688604,442.9892142
123.2744783,427.5808937
118.7800963,408.3204931
114.2857143,396.7642527
111.0754414,381.3559322
105.2969502,362.0955316
99.51845907,342.835131
94.38202247,327.4268105
89.88764045,312.01849
86.035313,296.6101695
81.54093098,285.0539291
77.04654896,269.6456086
72.55216693,254.2372881
66.77367576,234.9768875
59.71107544,215.7164869
59.71107544,215.7164869
54.57463884,200.3081664
49.43820225,181.0477658
44.30176565,169.4915254
39.80738363,154.0832049
35.31300161,142.5269646
30.81861958,127.1186441
26.96629213,111.7103236
22.47191011,92.44992296
17.33547352,77.04160247
13.48314607,61.63328197
8.34670947,42.37288136
3.852327448,19.26040062
0,0
