x,y
398.7158909,1521.571649
394.8635634,1510.015408
390.3691814,1498.459168
385.8747994,1479.198767
381.3804173,1463.790447
375.6019262,1448.382126
371.7495987,1432.973806
367.2552167,1417.565485
362.7608347,1406.009245
359.5505618,1390.600924
355.0561798,1367.488444
349.2776886,1348.228043
345.4253612,1332.819723
342.2150883,1317.411402
337.7207063,1298.151002
333.2263242,1282.742681
329.3739968,1267.334361
324.2375602,1244.22188
319.7431782,1224.961479
314.6067416,1205.701079
310.1123596,1186.440678
305.6179775,1163.328197
300.4815409,1147.919877
295.9871589,1124.807396
291.4927769,1101.694915
286.9983949,1082.434515
282.5040128,1063.174114
278.0096308,1043.913713
272.8731942,1024.653313
269.0208668,1005.392912
263.8844302,982.2804314
260.0321027,966.8721109
255.5377207,951.4637904
249.7592295,928.3513097
244.6227929,897.5346687
238.8443018,882.1263482
234.3499197,862.8659476
228.5714286,839.7534669
222.1508828,812.788906
215.7303371,789.6764253
210.5939005,770.4160247
206.741573,751.155624
202.247191,735.7473035
198.3948636,716.4869029
193.258427,697.2265023
189.4060995,681.8181818
186.1958266,670.2619414
182.3434992,654.853621
177.2070626,639.4453005
170.7865169,608.6286595
170.7865169,608.6286595
165.6500803,593.220339
161.7977528,577.8120185
156.6613162,558.5516179
152.8089888,546.9953775
147.6725522,527.7349769
143.1781701,508.4745763
138.0417335,493.0662558
132.905297,477.6579353
127.1268058,454.5454545
122.6324238,435.2850539
117.4959872,419.8767334
113.0016051,404.4684129
108.5072231,389.0600924
104.0128411,373.651772
99.51845907,358.2434515
95.02407705,342.835131
91.1717496,331.2788906
86.67736758,315.8705701
80.8988764,296.6101695
76.40449438,281.201849
70.62600321,265.7935285
66.13162119,250.385208
60.99518459,231.1248074
55.85874799,215.7164869
51.36436597,196.4560863
47.51203852,184.8998459
42.37560193,165.6394453
37.8812199,146.3790447
33.38683788,130.9707242
28.89245586,115.5624037
24.39807384,100.1540832
19.90369181,84.74576271
15.40930979,69.33744222
12.19903692,53.92912173
8.34670947,38.52080123
5.136436597,26.96456086
0,0
