Starting run_simulation!(), time is 2026-05-06 18:33:07
Phase 2 flatness check: H(N) min/mean = 43.0 %, total iters: 20500000000 min: 18377619 2026-05-07 06:44:08
Phase 2 flatness check: H(N) min/mean = 42.0 %, total iters: 21000000000 min: 18377619 2026-05-07 06:55:51
Phase 2 flatness check: H(N) min/mean = 41.0 %, total iters: 21500000000 min: 18377619 2026-05-07 07:13:59
Phase 2 flatness check: H(N) min/mean = 42.0 %, total iters: 22000000000 min: 19356184 2026-05-07 07:31:30
Phase 2 flatness check: H(N) min/mean = 41.0 %, total iters: 22500000000 min: 19356184 2026-05-07 07:45:37
Phase 2 flatness check: H(N) min/mean = 46.0 %, total iters: 23000000000 min: 22142534 2026-05-07 08:04:59
Phase 2 flatness check: H(N) min/mean = 45.0 %, total iters: 23500000000 min: 22142534 2026-05-07 08:20:59
Phase 2 flatness check: H(N) min/mean = 44.0 %, total iters: 24000000000 min: 22142534 2026-05-07 08:38:34
Phase 2 flatness check: H(N) min/mean = 43.0 %, total iters: 24500000000 min: 22142534 2026-05-07 08:57:52
Phase 2 flatness check: H(N) min/mean = 42.0 %, total iters: 25000000000 min: 22142534 2026-05-07 09:15:20
Phase 2 flatness check: H(N) min/mean = 44.0 %, total iters: 25500000000 min: 23288298 2026-05-07 09:32:51
Phase 2 flatness check: H(N) min/mean = 45.0 %, total iters: 26000000000 min: 24533573 2026-05-07 09:51:32
Phase 2 flatness check: H(N) min/mean = 44.0 %, total iters: 26500000000 min: 24533573 2026-05-07 10:09:43
Phase 2 flatness check: H(N) min/mean = 57.0 %, total iters: 27000000000 min: 32364464 2026-05-07 10:29:53
Phase 2 flatness check: H(N) min/mean = 56.0 %, total iters: 27500000000 min: 32707547 2026-05-07 10:47:00
Phase 2 flatness check: H(N) min/mean = 55.0 %, total iters: 28000000000 min: 32707547 2026-05-07 11:02:56
Phase 2 flatness check: H(N) min/mean = 60.0 %, total iters: 28500000000 min: 35788252 2026-05-07 11:21:30
Phase 2 flatness check: H(N) min/mean = 59.0 %, total iters: 29000000000 min: 36014695 2026-05-07 11:40:40
Phase 2 flatness check: H(N) min/mean = 65.0 %, total iters: 29500000000 min: 40710976 2026-05-07 12:02:05
Phase 2 flatness check: H(N) min/mean = 69.0 %, total iters: 30000000000 min: 43472397 2026-05-07 12:25:14
Phase 2 flatness check: H(N) min/mean = 71.0 %, total iters: 30500000000 min: 45589373 2026-05-07 12:39:59
Phase 2 flatness check: H(N) min/mean = 70.0 %, total iters: 31000000000 min: 45773422 2026-05-07 12:56:34
Phase 2 flatness check: H(N) min/mean = 69.0 %, total iters: 31500000000 min: 45773422 2026-05-07 13:15:34
Phase 2 flatness check: H(N) min/mean = 67.0 %, total iters: 32000000000 min: 45773422 2026-05-07 14:36:39
Phase 2 flatness check: H(N) min/mean = 66.0 %, total iters: 32500000000 min: 45773422 2026-05-07 14:51:28
Phase 2 flatness check: H(N) min/mean = 65.0 %, total iters: 33000000000 min: 45905025 2026-05-07 15:10:43
Phase 2 flatness check: H(N) min/mean = 64.0 %, total iters: 33500000000 min: 45910785 2026-05-07 15:26:50
Phase 2 flatness check: H(N) min/mean = 63.0 %, total iters: 34000000000 min: 45910785 2026-05-07 15:41:52
Phase 2 flatness check: H(N) min/mean = 65.0 %, total iters: 34500000000 min: 48085331 2026-05-07 16:00:13
Phase 2 flatness check: H(N) min/mean = 67.0 %, total iters: 35000000000 min: 49903950 2026-05-07 16:23:27
Phase 2 flatness check: H(N) min/mean = 67.0 %, total iters: 35500000000 min: 50532725 2026-05-07 16:42:32
Phase 2 flatness check: H(N) min/mean = 66.0 %, total iters: 36000000000 min: 50532725 2026-05-07 16:57:53
Phase 2 flatness check: H(N) min/mean = 74.0 %, total iters: 36500000000 min: 57823998 2026-05-07 17:21:17
Phase 2 flatness check: H(N) min/mean = 74.0 %, total iters: 37000000000 min: 58070577 2026-05-07 17:42:06
Phase 2 flatness check: H(N) min/mean = 75.0 %, total iters: 37500000000 min: 59716501 2026-05-07 18:01:46
Phase 2 flatness check: H(N) min/mean = 75.0 %, total iters: 38000000000 min: 61283061 2026-05-07 18:24:57
Phase 2 flatness check: H(N) min/mean = 74.0 %, total iters: 38500000000 min: 61283061 2026-05-07 19:09:08
Phase 2 flatness check: H(N) min/mean = 74.0 %, total iters: 39000000000 min: 61387006 2026-05-07 19:28:11
Phase 2 flatness check: H(N) min/mean = 73.0 %, total iters: 39500000000 min: 61387006 2026-05-07 19:44:39
Phase 2 flatness check: H(N) min/mean = 72.0 %, total iters: 40000000000 min: 61387006 2026-05-07 20:02:24
Phase 2 flatness check: H(N) min/mean = 72.0 %, total iters: 40500000000 min: 62415951 2026-05-07 20:19:56
Phase 2 flatness check: H(N) min/mean = 72.0 %, total iters: 41000000000 min: 63130065 2026-05-07 20:39:21
Phase 2 flatness check: H(N) min/mean = 72.0 %, total iters: 41500000000 min: 63920554 2026-05-07 21:00:19
Phase 2 flatness check: H(N) min/mean = 75.0 %, total iters: 42000000000 min: 67508206 2026-05-07 21:17:54
Phase 2 flatness check: H(N) min/mean = 76.0 %, total iters: 42500000000 min: 69380393 2026-05-07 21:33:22
Phase 2 flatness check: H(N) min/mean = 79.0 %, total iters: 43000000000 min: 72932799 2026-05-07 21:53:37
Flatness criterion reached in phase 2 after 43138000000 total iterations 2026-05-07 21:58:48
H(N) min/mean = 80.0 %
H(N) max = 101605724
