Starting run_simulation!(), time is 2026-05-11 00:07:17
Phase 2 flatness check: H(N) min/mean = 74.0 %, total iters: 22000000000 min: 30958185 2026-05-11 09:32:17
Phase 2 flatness check: H(N) min/mean = 73.0 %, total iters: 22500000000 min: 31247543 2026-05-11 09:45:43
Phase 2 flatness check: H(N) min/mean = 71.0 %, total iters: 23000000000 min: 31307689 2026-05-11 09:58:01
Phase 2 flatness check: H(N) min/mean = 74.0 %, total iters: 23500000000 min: 33154655 2026-05-11 10:11:37
Phase 2 flatness check: H(N) min/mean = 74.0 %, total iters: 24000000000 min: 34226545 2026-05-11 10:24:12
Phase 2 flatness check: H(N) min/mean = 72.0 %, total iters: 24500000000 min: 34226545 2026-05-11 10:35:35
Phase 2 flatness check: H(N) min/mean = 75.0 %, total iters: 25000000000 min: 36237539 2026-05-11 10:50:34
Phase 2 flatness check: H(N) min/mean = 73.0 %, total iters: 25500000000 min: 36247251 2026-05-11 11:02:28
Phase 2 flatness check: H(N) min/mean = 73.0 %, total iters: 26000000000 min: 37038127 2026-05-11 11:14:33
Phase 2 flatness check: H(N) min/mean = 74.0 %, total iters: 26500000000 min: 38016652 2026-05-11 11:27:02
Phase 2 flatness check: H(N) min/mean = 72.0 %, total iters: 27000000000 min: 38016652 2026-05-11 11:38:50
Phase 2 flatness check: H(N) min/mean = 71.0 %, total iters: 27500000000 min: 38016652 2026-05-11 11:51:01
Phase 2 flatness check: H(N) min/mean = 71.0 %, total iters: 28000000000 min: 39043879 2026-05-11 12:03:28
Phase 2 flatness check: H(N) min/mean = 70.0 %, total iters: 28500000000 min: 39499465 2026-05-11 12:16:28
Phase 2 flatness check: H(N) min/mean = 70.0 %, total iters: 29000000000 min: 40349126 2026-05-11 12:30:06
Phase 2 flatness check: H(N) min/mean = 71.0 %, total iters: 29500000000 min: 41193862 2026-05-11 12:41:53
Phase 2 flatness check: H(N) min/mean = 70.0 %, total iters: 30000000000 min: 41639918 2026-05-11 12:54:08
Phase 2 flatness check: H(N) min/mean = 71.0 %, total iters: 30500000000 min: 43203166 2026-05-11 13:10:05
Phase 2 flatness check: H(N) min/mean = 70.0 %, total iters: 31000000000 min: 43383200 2026-05-11 13:22:01
Phase 2 flatness check: H(N) min/mean = 70.0 %, total iters: 31500000000 min: 43806538 2026-05-11 13:34:40
Phase 2 flatness check: H(N) min/mean = 70.0 %, total iters: 32000000000 min: 44565509 2026-05-11 13:46:28
Phase 2 flatness check: H(N) min/mean = 73.0 %, total iters: 32500000000 min: 47677405 2026-05-11 14:01:46
Phase 2 flatness check: H(N) min/mean = 74.0 %, total iters: 33000000000 min: 48769553 2026-05-11 14:13:42
Phase 2 flatness check: H(N) min/mean = 75.0 %, total iters: 33500000000 min: 50105360 2026-05-11 14:26:41
Phase 2 flatness check: H(N) min/mean = 73.0 %, total iters: 34000000000 min: 50163611 2026-05-11 14:39:54
Phase 2 flatness check: H(N) min/mean = 72.0 %, total iters: 34500000000 min: 50163611 2026-05-11 14:51:00
Phase 2 flatness check: H(N) min/mean = 73.0 %, total iters: 35000000000 min: 51306105 2026-05-11 15:03:04
Phase 2 flatness check: H(N) min/mean = 72.0 %, total iters: 35500000000 min: 51731242 2026-05-11 15:15:35
Phase 2 flatness check: H(N) min/mean = 71.0 %, total iters: 36000000000 min: 51731242 2026-05-11 15:29:01
Phase 2 flatness check: H(N) min/mean = 71.0 %, total iters: 36500000000 min: 52719642 2026-05-11 15:41:34
Phase 2 flatness check: H(N) min/mean = 70.0 %, total iters: 37000000000 min: 52719642 2026-05-11 15:55:31
Phase 2 flatness check: H(N) min/mean = 69.0 %, total iters: 37500000000 min: 52719642 2026-05-11 16:05:57
Phase 2 flatness check: H(N) min/mean = 68.0 %, total iters: 38000000000 min: 52719642 2026-05-11 16:17:52
Phase 2 flatness check: H(N) min/mean = 70.0 %, total iters: 38500000000 min: 54445172 2026-05-11 16:30:30
Phase 2 flatness check: H(N) min/mean = 70.0 %, total iters: 39000000000 min: 55919542 2026-05-11 16:44:50
Phase 2 flatness check: H(N) min/mean = 70.0 %, total iters: 39500000000 min: 56298340 2026-05-11 16:57:41
Phase 2 flatness check: H(N) min/mean = 72.0 %, total iters: 40000000000 min: 58939070 2026-05-11 17:12:05
Phase 2 flatness check: H(N) min/mean = 71.0 %, total iters: 40500000000 min: 58939070 2026-05-11 17:23:39
Phase 2 flatness check: H(N) min/mean = 74.0 %, total iters: 41000000000 min: 61964980 2026-05-11 17:38:47
Phase 2 flatness check: H(N) min/mean = 76.0 %, total iters: 41500000000 min: 64476164 2026-05-11 17:53:40
Phase 2 flatness check: H(N) min/mean = 78.0 %, total iters: 42000000000 min: 67337548 2026-05-11 18:06:51
Phase 2 flatness check: H(N) min/mean = 77.0 %, total iters: 42500000000 min: 67337548 2026-05-11 18:20:34
Phase 2 flatness check: H(N) min/mean = 77.0 %, total iters: 43000000000 min: 67664800 2026-05-11 18:34:27
Phase 2 flatness check: H(N) min/mean = 77.0 %, total iters: 43500000000 min: 68408684 2026-05-11 18:47:23
Phase 2 flatness check: H(N) min/mean = 76.0 %, total iters: 44000000000 min: 68408684 2026-05-11 19:00:51
Phase 2 flatness check: H(N) min/mean = 79.0 %, total iters: 44500000000 min: 72513964 2026-05-11 19:16:07
Phase 2 flatness check: H(N) min/mean = 78.0 %, total iters: 45000000000 min: 72513964 2026-05-11 19:28:06
Phase 2 flatness check: H(N) min/mean = 79.0 %, total iters: 45500000000 min: 74515359 2026-05-11 19:41:35
Phase 2 flatness check: H(N) min/mean = 78.0 %, total iters: 46000000000 min: 74515359 2026-05-11 19:54:03
Phase 2 flatness check: H(N) min/mean = 78.0 %, total iters: 46500000000 min: 74972282 2026-05-11 20:07:13
Flatness criterion reached in phase 2 after 46952000000 total iterations 2026-05-11 20:22:33
H(N) min/mean = 80.0 %
H(N) max = 102757282
