Starting run_simulation!(), time is 2026-05-05 16:53:11
Phase 2 flatness check: H(N) min/mean = 64.0 %, total iters: 22500000000 min: 27068651 2026-05-06 06:13:38
Phase 2 flatness check: H(N) min/mean = 64.0 %, total iters: 23000000000 min: 27593536 2026-05-06 06:35:32
Phase 2 flatness check: H(N) min/mean = 70.0 %, total iters: 23500000000 min: 30992017 2026-05-06 06:57:39
Phase 2 flatness check: H(N) min/mean = 68.0 %, total iters: 24000000000 min: 30992017 2026-05-06 07:15:31
Phase 2 flatness check: H(N) min/mean = 67.0 %, total iters: 24500000000 min: 30992017 2026-05-06 07:33:39
Phase 2 flatness check: H(N) min/mean = 65.0 %, total iters: 25000000000 min: 30992017 2026-05-06 07:48:39
Phase 2 flatness check: H(N) min/mean = 64.0 %, total iters: 25500000000 min: 30992017 2026-05-06 08:04:13
Phase 2 flatness check: H(N) min/mean = 66.0 %, total iters: 26000000000 min: 32678519 2026-05-06 08:22:15
Phase 2 flatness check: H(N) min/mean = 66.0 %, total iters: 26500000000 min: 33536449 2026-05-06 10:19:23
Phase 2 flatness check: H(N) min/mean = 65.0 %, total iters: 27000000000 min: 33697468 2026-05-06 10:37:54
Phase 2 flatness check: H(N) min/mean = 68.0 %, total iters: 27500000000 min: 36316106 2026-05-06 10:57:29
Phase 2 flatness check: H(N) min/mean = 71.0 %, total iters: 28000000000 min: 38566619 2026-05-06 11:15:36
Phase 2 flatness check: H(N) min/mean = 73.0 %, total iters: 28500000000 min: 40648708 2026-05-06 11:35:51
Phase 2 flatness check: H(N) min/mean = 73.0 %, total iters: 29000000000 min: 41102244 2026-05-06 11:54:22
Phase 2 flatness check: H(N) min/mean = 75.0 %, total iters: 29500000000 min: 43376892 2026-05-06 12:18:09
Phase 2 flatness check: H(N) min/mean = 74.0 %, total iters: 30000000000 min: 43376892 2026-05-06 12:36:48
Phase 2 flatness check: H(N) min/mean = 73.0 %, total iters: 30500000000 min: 43920454 2026-05-06 12:52:10
Phase 2 flatness check: H(N) min/mean = 72.0 %, total iters: 31000000000 min: 44080709 2026-05-06 13:07:47
Phase 2 flatness check: H(N) min/mean = 71.0 %, total iters: 31500000000 min: 44080709 2026-05-06 13:24:01
Phase 2 flatness check: H(N) min/mean = 71.0 %, total iters: 32000000000 min: 44802100 2026-05-06 13:47:47
Phase 2 flatness check: H(N) min/mean = 70.0 %, total iters: 32500000000 min: 44802100 2026-05-06 14:03:49
Phase 2 flatness check: H(N) min/mean = 69.0 %, total iters: 33000000000 min: 44802100 2026-05-06 14:22:15
Phase 2 flatness check: H(N) min/mean = 67.0 %, total iters: 33500000000 min: 44802100 2026-05-06 14:38:06
Phase 2 flatness check: H(N) min/mean = 70.0 %, total iters: 34000000000 min: 47420889 2026-05-06 14:59:19
Phase 2 flatness check: H(N) min/mean = 71.0 %, total iters: 34500000000 min: 48775842 2026-05-06 15:18:11
Phase 2 flatness check: H(N) min/mean = 70.0 %, total iters: 35000000000 min: 48775842 2026-05-06 15:32:17
Phase 2 flatness check: H(N) min/mean = 73.0 %, total iters: 35500000000 min: 51736379 2026-05-06 15:52:58
Phase 2 flatness check: H(N) min/mean = 75.0 %, total iters: 36000000000 min: 54288259 2026-05-06 16:12:26
Phase 2 flatness check: H(N) min/mean = 77.0 %, total iters: 36500000000 min: 56013535 2026-05-06 16:34:30
Phase 2 flatness check: H(N) min/mean = 75.0 %, total iters: 37000000000 min: 56013535 2026-05-06 16:49:15
Phase 2 flatness check: H(N) min/mean = 77.0 %, total iters: 37500000000 min: 57989300 2026-05-06 17:06:33
Phase 2 flatness check: H(N) min/mean = 76.0 %, total iters: 38000000000 min: 58311102 2026-05-06 17:24:51
Flatness criterion reached in phase 2 after 38150000000 total iterations 2026-05-06 17:32:05
H(N) min/mean = 80.0 %
H(N) max = 95532796
